6 лет ИТЛ, отбыв.: г.Гомель ЛК-66, освоб. 05.02.1949;1
6 мес.лишения свободы;1
6 мес.лиш.своб.;1
6 мес.л/св.;1
6 мес.л.с.;1
6 мес.ИТЛ;1
6 мес. ИТЛ, отбыв.: г.Полоцк;1
6 мес.условно, освоб. 11.01.1931;1
6 мес. ИТЛ, отбыв.: УСЛОН;1
6 м-цев ИТЛ;1
6 м есяцев лишения свободы, освоб. 27.12.19;1
6 лет, снижено до 4 лет;1
6 лет, отбыв.: Джамбульская область;1
6 лет, освоб. 15.01.1939;1
6 лет, освоб. 14.02.1943;1
6 мес. ИТЛ, отбыв.: Минский ИТЛ, освоб. 15.03.1922;1
6 месяцев л.с.;1
6 месяцев л/св;1
6 месяцев л/св.;1
7 лет ИТЛ в лагерях НКВД СССР;1
7 лет ИТЛ - Печерлаг, осв. 15.09.1948;1
7 лет ИЛ, 5 лет пораж.в правах;1
7 лет 6 мес. ИТЛ с п/п, отбыв.: г.Ковров Владимирской обл., освоб. 1955;1
7 лет;1
7 дет ИТЛ;1
6лет л.с.с пораж.в правах на3года;1
6лет л.с., с пораж.в правах на3год, отбыв.: Иркутская обл., освоб. 27.05.50;1
6лет л.с., с пораж.в правах на2год, отбыв.: Дальстрой. Освоб.: 07.09.43;1
6лет л.с., с пораж.в прав.на3года, отбыв.: Коми АССР, освоб. 1948;1
6лет л.с., с пораж.в прав.на3года, освоб. 28.06.52;1
6лет л.с., с пораж.в прав.на3года, конфискация имущества;1
6лет л.с., с пораж.в прав. на3года, отбыв.: ст.Сухобезводная, горьковская область, освоб. 1950;1
64, 76УК БССР;1
6 месяцев принудительных работ;1
6 лет, освоб. 04.04.1940;1
6 лет ИТЛ, 5 лет пораж.в правах, конфискация имущества, освоб. 11.09.1954;1
6 лет, конфискация имущества, отбыв.: Дмитлаг НКВД 6 отд.Владивосток ОЛП, освоб. 10.02.1940;1
6 лет тюр.закл., 3 года пораж.прав;1
6 лет ИТЛ6 3 г. п/п, отбыв.: ИТК № 8, Смолевичи;1
6 лет ИТЛ, умер 27.06.1946;1
6 лет ИТЛ, умер 02.11.1941, в заключ.;1
6 лет ИТЛ, с пораж.в прав.на4года;1
6 лет ИТЛ, с пораж.в прав.на 3года;1
6 лет ИТЛ, с пораж.в прав.на 3год;1
6 лет л.с., конфискация имущества, отбыв.: Коми АССР. Освоб.: 1950;1
6 лет ИТЛ, пораж.в правах на 3 г, конфискация имущества, освоб. 24.09.1951;1
6 лет ИТЛ, отбыв.: п.Усть-Кемь Красноярского края;1
6 лет ИТЛ, отбыв.: м/з Ярославская обл., освоб. 03.06.1941;1
6 лет ИТЛ, отбыв.: г.Хабаровск, освоб. 02.07.1938;1
6 лет ИТЛ, отбыв.: г.Ухта Коми АССР;1
6 лет ИТЛ, отбыв.: г.Минск, освоб. 1950;1
6 лет ИТЛ, отбыв.: г.Кемь Соловецкий ИТЛ|ст.Китай Усольского р-на Забайкальской ж/д;1
6 лет ИТЛ, отбыв.: ст.Доллаг;1
6 лет л.с., отбыв.: г.Минск, лагерное отделение, освоб. 01.08.50;1
6 лет л.с., отбыв.: ст.Сухобезводное, Горьковская обл.;1
6 лет л.с., с пораж. в прав.на 3г, конфискация имущества;1
6 лет ссылки, отбыв.: КФАССР, освоб. 10.05.1947;1
6 лет ссылки, отбыв.: Енисейстрой;1
6 лет спецпоселения, отбыв.: Бурятская АССР, освоб. 17.02.1955;1
6 лет лиш.св.;1
6 лет лиш./св.;1
6 лет л/св.;1
6 лет л/с;1
6 лет л.с., ссылка, отбыв.: Красноярский край. Освоб.: 05.04.56;1
6 лет л.с., с пораж.прав.на 3 год, конфискация имущества, отбыв.: г. Минск, п/я 35. Освоб.: 24.01.52;1
6 лет л.с., с пораж.прав.на 3 год;1
6 лет л.с., с пораж.в прав.на3года, отбыв.: тюрьма г.Гродно, освоб. 07.03.47;1
6 лет л.с., с пораж.в прав.на3года - тюрьма г.Гродно, осв. 07.03.47;1
6 лет л.с., с пораж.в прав.на3года;1
6 лет л.с., с пораж.в прав.на3год, отбыв.: Таджикская ССР, освоб. 18.12.51;1
6 лет л.с., с пораж.в прав.на3год;1
6 лет, конфискация имущества;1
6 лет ИТЛ, 5 лет пораж.в правах, конфискация имущества;1
6 лет ИТЛ, 5 лет пораж.в правах;1
6 лет ИТЛ, 5 лет п/п, отбыв.: г.Норильск Красноярского края, освоб. 17.10.1950;1
5лет ссылки вместе с 2-мя детьми, конфискация имущества, отбыв.: Красноярский край;1
5лет ссылки в Красноярский край;1
5лет ссылки в БашкирскуюАССР;1
5лет лишения свободы, отбыв.: Мордовская АССР;1
5лет л.с.с пораж.в прав.на 3года, конфискация имущества;1
5лет л.с., с пораж.в правах на3год, конфискация имущества, отбыв.: Ярославская обл. Освоб.: 26.10.50;1
5лет ссылки вместе с 3-мя детьми, конфискация имущества, отбыв.: Красноярский край. Освоб.: 25.01.52;1
5лет л.с., с пораж.в прав.на3года, отбыв.: гор.Ипта, Коми АССР, освоб. 23.12.54;1
5лет л.с., с пораж.в прав.на3года, отбыв.: г.Молотовск Архангельская обл., освоб. 12.02.47;1
5лет л.с., с пораж.в прав.на 3года;1
5лет л.с., с пораж.в прав.на 2года;1
5лет л.с., отбыв.: г.Воркута;1
5лет л.с., отбыв.: Краснодарский край, освоб. 14.06.54;1
5лет ИТЛ., отбыв.: п.Ухта Коми АССР, освоб. 01.09.41;1
5лет л.с., с пораж.в прав.на3года, отбыв.: г.Норильск;1
5лет ссылки вместе с 4-мя детьми, отбыв.: Красноярский край;1
5лет ссылки вместе с дочерью Еле-, конфискация имущества, отбыв.: Красноярский край;1
5лет ссылки вместе с женой;1
5лет ссылки, отбыв.: Кустанайская обл.;1
5лет ссылки, отбыв.: Кроасноярский край;1
5лет ссылки, отбыв.: Кокчетавская обл., освоб. 30.12.49;1
5лет ссылки, отбыв.: Кировская обл., освоб. 18.09.41;1
5лет ссылки, отбыв.: Карагандинская обл.;1
5лет ссылки, конфискация имущества, отбыв.: Красноярский край;1
5лет ссылки с сын.Александр.1940г, конфискация имущества, отбыв.: Северо-Казахсканская обл.;1
5лет ссылки с доч.Тамарой, 1939г., отбыв.: Красноярский край;1
5лет ссылки с доч.Ниной, 1941г.р., отбыв.: Красноярский край;1
5лет ссылки с доч.Марией, 1932г.р, отбыв.: Красноярский край;1
5лет ссылки с доч.Верой, 1943г.р., отбыв.: Красноярский край;1
5лет ссылки с д.Аллой.1942г.р.и, конфискация имущества, отбыв.: Красноярский край;1
5лет ссылки вместе с сыном, отбыв.: Северо-Кавказская обл.;1
5лет ссылки вместе с сыном, конфискация имущества, отбыв.: Красноярский край;1
5лет ссылки вместе с сыном Иоси-, конфискация имущества, отбыв.: Красноярский край;1
5лет ИТЛ., отбыв.: Коми АССР, освоб. 04.09.41;1
5лет ссылки, отбыв.: Марийская АССР;1
5лет ИТЛ., отбыв.: Карагандинский ИТЛ., освоб. 09.09.41;1
5лет ИТЛ., отбыв.: Астраханская обл, освоб. 20.10.41;1
5лет ИТЛ, отбыв.: Молотовская обл.;1
5лет ИТЛ, отбыв.: Красноярский край;1
5лет ИТЛ, отбыв.: Коми АССР, освоб. 23.09.41;1
5лет ИТЛ, отбыв.: Коми АССР, освоб. 17.09.41;1
5лет ИТЛ, отбыв.: Карагандинский ИТЛ, освоб. 12.10.41;1
5лет ИТЛ, отбыв.: Карагандинский ИТЛ, освоб. 11.09.41;1
5лет ИТЛ, отбыв.: Самарлаг, ст.Безыменка;1
5лет ИТЛ, отбыв.: Карагандинский ИТЛ, освоб. 10.11.41;1
5лет ИТЛ, отбыв.: Воркута, освоб. 06.10.41;1
5лет ИТЛ, отбыв.: Воркута, освоб. 05.09.41;1
5лет ИТЛ, отбыв.: Воркута;1
5лет ИТЛ, отбыв.: Белбалтлаг, освоб. 08.41;1
5лет ИТЛ, отбыв.: Архангельская обл.;1
5лет ИТЛ, освоб. 30.08.41;1
5лет ИТЛ, отбыв.: Воркута, освоб. 18.09.41;1
5лет ИТЛ, отбыв.: Свирлаг;1
5лет ИТЛ, отбыв.: Севжелдорлаг, освоб. 22.04.48;1
5лет ИТЛ, отбыв.: Севураллаг;1
5лет ИТЛ., освоб. 28.08.41;1
5лет ИТЛ., освоб. 27.08.41;1
5лет ИТЛ., освоб. 11.09.41;1
5лет ИТЛ, с пораж.в правах на 3год;1
5лет ИТЛ, с пораж.в прав.на3года;1
5лет ИТЛ, отбыв.: п.Ухта, Коми АССР;1
5лет ИТЛ, отбыв.: г.Харьков, Коми АССР, освоб. 19.09.41;1
5лет ИТЛ, отбыв.: г.Воркута, освоб. 10.09.41;1
5лет ИТЛ, отбыв.: Ягринлаг;1
5лет ИТЛ, отбыв.: Ухтпечлаг НКВД;1
5лет ИТЛ, отбыв.: Устьвымлаг, освоб. 01.09.41;1
5лет ИТЛ, отбыв.: Усольлаг;1
5лет ИТЛ, отбыв.: Унжлаг, умер 29.12.46;1
5лет ИТЛ, отбыв.: Унжлаг, освоб. 20.05.49;1
5лет ИТЛ, отбыв.: Сиблаг;1
5лет ИТЛ., отбыв.: Карагандинский ИТЛ, освоб. 03.09.41;1
7 лет ИТЛ и 3г.поражения в правах;1
5лет ссылки, отбыв.: Новосибирская обл.;1
6 лет 8 дней ИТЛ, 4 года ссылки, отбыв.: УЖ 15/6 г.орша, освоб. 02.12.1988;1
6 лет ИТЛ, 3 года пораж.в правах (? расстрел 30.10.1938);1
6 лет ИТЛ, 3 года пораж. в правах, отбыв.: ИТК-3 (Хотеничи), тюрьма №2 УНКВД Астраханской обл., умер 18.12.1941, в ИТЛ;1
6 лет ИТЛ, 3 года пораж. в прав.;1
6 лет ИТЛ, 3 года п/п, отбыв.: п.Явас Морд.АССР, умер 15.05.1943, в ИТЛ;1
6 лет ИТЛ, 3 года п/п, отбыв.: Ухтпечлаг, умер 15.10.1937, в ИТЛ;1
6 лет ИТЛ, 3 года п/п, отбыв.: Тавдиплаг, умер 03.04.1942, в ИТЛ;1
6 лет ИТЛ, 3 года пораж.в правах, конфискация имущества, освоб. 10.1941;1
6 лет ИТЛ, 3 года п/п, отбыв.: Ст.Сосьва Свердловской обл.;1
6 лет ИТЛ, 3 года п/п, отбыв.: Свирлаг, освоб. 25.11.1941;1
6 лет ИТЛ, 3 года п/п, отбыв.: ОЛП 5 УИТК г.Минск;1
6 лет ИТЛ, 3 года п/п, отбыв.: Красноярский край, освоб. 30.01.1955;1
6 лет ИТЛ, 3 года п/п, отбыв.: Красноярский край, освоб. 16.09.1954;1
6 лет ИТЛ, 3 года п/п, отбыв.: Краслаг г.Канск, освоб. 18.06.1947;1
6 лет ИТЛ, 3 года п/п, отбыв.: Востлаг;1
6 лет ИТЛ, 3 года п/п, отбыв.: Слуцкая тюрьма, умерла 14.05.1940, в тюрьме;1
6 лет ИТЛ, 3 года пораж.в правах, освоб. 22.09.1950;1
6 лет ИТЛ, 3 года пораж.в правах, отбыв.: Карагандинский ИТЛ, освоб. 24.08.1943;1
6 лет ИТЛ, 3 года пораж.в правах, отбыв.: Коми АССР;1
6 лет ИТЛ, 5 лет п/п, отбыв.: Пинская тюрьма, освоб. 09.08.1947;1
6 лет ИТЛ, 5 лет п/п, отбыв.: Молотовская обл., освоб. 1956;1
6 лет ИТЛ, 5 лет п/п, конфискация имущества, отбыв.: г.инта Коми АССР;1
6 лет ИТЛ, 5 лет п/п, конфискация имущества, отбыв.: Унжлаг, освоб. 07.07.1945;1
6 лет ИТЛ, 5 лет п/п, конфискация имущества, отбыв.: Печлаг Коми АССР, освоб. 16.03.1948;1
