;;;;;;81470;;;;;;;;;;;;
дворник;62;0,076101633;с;;;;;;;;;;;;;;;
заведующая;62;0,076101633;нач;;;;;;;;;;;;;;;
ветфельдшер;61;0,074874187;с;;;;;;;;;;;;;;;
пом.машиниста;60;0,073646741;р;;;;;;;;;;;;;;;
почтальон;60;0,073646741;с;;;;;;;;;;;;;;;
контролер;59;0,072419295;с;;;;;;;;;;;;;;;
управляющий;57;0,069964404;с;;;;;;;;;;;;;;;
шорник;57;0,069964404;р;;;;;;;;;;;;;;;
делопроизводитель;54;0,066282067;с;;;;;;;;;;;;;;;
лесничий;54;0,066282067;с;;;;;;;;;;;;;;;
объездчик;54;0,066282067;р;;;;;;;;;;;;;;;
зам.председателя;51;0,06259973;с;;;;;;;;;;;;;;;
техник-строитель;51;0,06259973;с;;;;;;;;;;;;;;;
зав.складом;50;0,061372284;с;;;;;;;;;;;;;;;
комендант;50;0,061372284;с;;;;;;;;;;;;;;;
санитарка;50;0,061372284;с;;;;;;;;;;;;;;;
монтер;49;0,060144839;р;;;;;;;;;;;;;;;
пастух;49;0,060144839;р;;;;;;;;;;;;;;;
помещик;49;0,060144839;;;;;;;;;;;;;;;;
бондарь;48;0,058917393;;;;;;;;;;;;;;;;
в своем хоз-ве;47;0,057689947;;;;;;;;;;;;;;;;
технорук;47;0,057689947;;;;;;;;;;;;;;;;
бракер;46;0,056462502;;;;;;;;;;;;;;;;
пом.начальника;46;0,056462502;;;;;;;;;;;;;;;;
военнопленный;45;0,055235056;;;;;;;;;;;;;;;;
командир;45;0,055235056;;;;;;;;;;;;;;;;
приемщик;45;0,055235056;;;;;;;;;;;;;;;;
батрак;44;0,05400761;;;;;;;;;;;;;;;;
наборщик;43;0,052780164;;;;;;;;;;;;;;;;
владелец;41;0,050325273;;;;;;;;;;;;;;;;
без опр.зан.;40;0,049097827;;;;;;;;;;;;;;;;
полицейский;40;0,049097827;;;;;;;;;;;;;;;;
зам.начальника;39;0,047870382;;;;;;;;;;;;;;;;
диспетчер;38;0,046642936;;;;;;;;;;;;;;;;
ксендз;38;0,046642936;;;;;;;;;;;;;;;;
музыкант;36;0,044188045;;;;;;;;;;;;;;;;
пчеловод;36;0,044188045;;;;;;;;;;;;;;;;
зоотехник;35;0,042960599;;;;;;;;;;;;;;;;
курсант;35;0,042960599;;;;;;;;;;;;;;;;
стород;35;0,042960599;;;;;;;;;;;;;;;;
фотограф;35;0,042960599;;;;;;;;;;;;;;;;
моторист;34;0,041733153;;;;;;;;;;;;;;;;
писарь;34;0,041733153;;;;;;;;;;;;;;;;
телефонистка;34;0,041733153;;;;;;;;;;;;;;;;
землемер;33;0,040505708;;;;;;;;;;;;;;;;
пожарный;33;0,040505708;;;;;;;;;;;;;;;;
кустарь;32;0,039278262;;;;;;;;;;;;;;;;
хлебопашец;32;0,039278262;;;;;;;;;;;;;;;;
заключенный;31;0,038050816;;;;;;;;;;;;;;;;
стеклодув;31;0,038050816;;;;;;;;;;;;;;;;
боец;30;0,036823371;;;;;;;;;;;;;;;;
милиционер;30;0,036823371;;;;;;;;;;;;;;;;
садовник;30;0,036823371;;;;;;;;;;;;;;;;
доцент;29;0,035595925;;;;;;;;;;;;;;;;
сортировщик;29;0,035595925;;;;;;;;;;;;;;;;
статист;29;0,035595925;;;;;;;;;;;;;;;;
уполномоченный;29;0,035595925;;;;;;;;;;;;;;;;
на иждивении родителей;28;0,034368479;;;;;;;;;;;;;;;;
научный сотрудник;28;0,034368479;;;;;;;;;;;;;;;;
ст.инспектор;28;0,034368479;;;;;;;;;;;;;;;;
табельщик;28;0,034368479;;;;;;;;;;;;;;;;
учетчик;28;0,034368479;;;;;;;;;;;;;;;;
командир взвода;27;0,033141034;;;;;;;;;;;;;;;;
осмотрщик вагонов;27;0,033141034;;;;;;;;;;;;;;;;
пильщик;27;0,033141034;;;;;;;;;;;;;;;;
садовод;27;0,033141034;;;;;;;;;;;;;;;;
художник;27;0,033141034;;;;;;;;;;;;;;;;
швейцар;27;0,033141034;;;;;;;;;;;;;;;;
зав.магазином;26;0,031913588;;;;;;;;;;;;;;;;
надзиратель;26;0,031913588;;;;;;;;;;;;;;;;
настоятель;26;0,031913588;;;;;;;;;;;;;;;;
юрисконсульт;26;0,031913588;;;;;;;;;;;;;;;;
агент;25;0,030686142;;;;;;;;;;;;;;;;
педагог;25;0,030686142;;;;;;;;;;;;;;;;
по найму;25;0,030686142;;;;;;;;;;;;;;;;
электромеханик;25;0,030686142;;;;;;;;;;;;;;;;
в/служащий;24;0,029458696;;;;;;;;;;;;;;;;
временно не работал;24;0,029458696;;;;;;;;;;;;;;;;
дьякон;24;0,029458696;;;;;;;;;;;;;;;;
закройщик;24;0,029458696;;;;;;;;;;;;;;;;
землероб;24;0,029458696;;;;;;;;;;;;;;;;
проводник;24;0,029458696;;;;;;;;;;;;;;;;
псаломщик;24;0,029458696;;;;;;;;;;;;;;;;
составитель поездов;24;0,029458696;;;;;;;;;;;;;;;;
буфетчица;23;0,028231251;;;;;;;;;;;;;;;;
завуч;23;0,028231251;;;;;;;;;;;;;;;;
котельщик;23;0,028231251;;;;;;;;;;;;;;;;
органист;23;0,028231251;;;;;;;;;;;;;;;;
проводник вагонов;23;0,028231251;;;;;;;;;;;;;;;;
санитар;23;0,028231251;;;;;;;;;;;;;;;;
товаровед;23;0,028231251;;;;;;;;;;;;;;;;
циркулярщик;23;0,028231251;;;;;;;;;;;;;;;;
гл.кондуктор;22;0,027003805;;;;;;;;;;;;;;;;
зав.фермой;22;0,027003805;;;;;;;;;;;;;;;;
конторщик;22;0,027003805;;;;;;;;;;;;;;;;
официантка;22;0,027003805;;;;;;;;;;;;;;;;
штукатур;22;0,027003805;;;;;;;;;;;;;;;;
агент по снабжению;21;0,025776359;;;;;;;;;;;;;;;;
адвокат;21;0,025776359;;;;;;;;;;;;;;;;
дор.мастер;21;0,025776359;;;;;;;;;;;;;;;;
колхоз;21;0,025776359;;;;;;;;;;;;;;;;
командир роты;21;0,025776359;;;;;;;;;;;;;;;;
малолетний;21;0,025776359;;;;;;;;;;;;;;;;
находился в плену в германии;21;0,025776359;;;;;;;;;;;;;;;;
плановик;21;0,025776359;;;;;;;;;;;;;;;;
ст.стрелочник;21;0,025776359;;;;;;;;;;;;;;;;
стекольщик;21;0,025776359;;;;;;;;;;;;;;;;
счетовод-кассир;21;0,025776359;;;;;;;;;;;;;;;;
акушерка;20;0,024548914;;;;;;;;;;;;;;;;
животновод;20;0,024548914;;;;;;;;;;;;;;;;
служитель культа;20;0,024548914;;;;;;;;;;;;;;;;
часовой мастер;20;0,024548914;;;;;;;;;;;;;;;;
землеустроитель;19;0,023321468;;;;;;;;;;;;;;;;
истопник;19;0,023321468;;;;;;;;;;;;;;;;
киномеханик;19;0,023321468;;;;;;;;;;;;;;;;
курьер;19;0,023321468;;;;;;;;;;;;;;;;
пенсионерка;19;0,023321468;;;;;;;;;;;;;;;;
сельское хозяйство;19;0,023321468;;;;;;;;;;;;;;;;
сотрудник;19;0,023321468;;;;;;;;;;;;;;;;
стрелок;19;0,023321468;;;;;;;;;;;;;;;;
хлебороб;19;0,023321468;;;;;;;;;;;;;;;;
водопроводчик;18;0,022094022;;;;;;;;;;;;;;;;
зав.столовой;18;0,022094022;;;;;;;;;;;;;;;;
заготовщик;18;0,022094022;;;;;;;;;;;;;;;;
инженер-строитель;18;0,022094022;;;;;;;;;;;;;;;;
ревизор;18;0,022094022;;;;;;;;;;;;;;;;
слесарь-механик;18;0,022094022;;;;;;;;;;;;;;;;
смазчик;18;0,022094022;;;;;;;;;;;;;;;;
формовщик;18;0,022094022;;;;;;;;;;;;;;;;
артист;17;0,020866577;;;;;;;;;;;;;;;;
безработная;17;0,020866577;;;;;;;;;;;;;;;;
зав.отделом;17;0,020866577;;;;;;;;;;;;;;;;
консультант;17;0,020866577;;;;;;;;;;;;;;;;
обходчик;17;0,020866577;;;;;;;;;;;;;;;;
прачка;17;0,020866577;;;;;;;;;;;;;;;;
рыбак;17;0,020866577;;;;;;;;;;;;;;;;
сигналист;17;0,020866577;;;;;;;;;;;;;;;;
библиотекарь;16;0,019639131;;;;;;;;;;;;;;;;
грабарь;16;0,019639131;;;;;;;;;;;;;;;;
