;ARESTDATE;австриец;австрийка;арм€нин;ассириец;афганец;белорус;бельгиец;болгарин;венгр;голландец;грек;грузин;грузинка;еврей;зыр€нин;италь€нец;калмык;карачаевец;карел;китаец;кореец;латгалец;латыш;литвин;литовец;мадь€р;молдаванин;мордвин;немец;немка;осетин;пол€к;пусто;румын;русский;серб;словак;татарин;татарка;турок;узбек;украинец;финн;француз;хорват;цыган;чех;чешка;чуваш;эстонец;эстонка
14;1932;0,0;0,0;0,0;0,0;0,0;5263,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;28,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;44,0;0,0;11,0;0,0;0,0;0,0;6,0;0,0;0,0;588,0;67,0;0,0;92,0;0,0;0,0;2,0;0,0;0,0;0,0;21,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;6,0;1,0
15;1933;1,0;0,0;0,0;0,0;0,0;5277,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;102,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;65,0;0,0;23,0;0,0;0,0;0,0;9,0;2,0;0,0;1004,0;90,0;0,0;183,0;0,0;0,0;6,0;0,0;0,0;0,0;82,0;1,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0
16;1934;0,0;0,0;0,0;0,0;0,0;307,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;16,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;63,0;14,0;0,0;15,0;0,0;0,0;0,0;0,0;0,0;0,0;6,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0
17;1935;0,0;0,0;0,0;0,0;0,0;842,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;78,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,0;0,0;3,0;0,0;0,0;1,0;2,0;0,0;0,0;118,0;9,0;0,0;34,0;0,0;0,0;0,0;0,0;0,0;0,0;9,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
18;1936;1,0;0,0;0,0;0,0;0,0;718,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;187,0;0,0;1,0;0,0;0,0;0,0;0,0;1,0;0,0;6,0;0,0;5,0;0,0;0,0;0,0;2,0;2,0;0,0;89,0;16,0;0,0;44,0;0,0;0,0;1,0;1,0;0,0;0,0;14,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
19;1937;1,0;0,0;3,0;0,0;0,0;12456,0;0,0;0,0;1,0;0,0;2,0;2,0;0,0;825,0;0,0;0,0;0,0;0,0;0,0;1,0;2,0;1,0;424,0;1,0;132,0;0,0;0,0;1,0;75,0;11,0;0,0;3597,0;235,0;0,0;549,0;0,0;0,0;13,0;1,0;0,0;0,0;157,0;0,0;0,0;1,0;0,0;2,0;0,0;1,0;6,0;1,0
20;1938;1,0;0,0;3,0;3,0;1,0;4584,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;540,0;0,0;0,0;0,0;1,0;0,0;11,0;1,0;0,0;479,0;0,0;138,0;0,0;1,0;0,0;121,0;15,0;0,0;2160,0;93,0;1,0;272,0;1,0;0,0;12,0;1,0;0,0;0,0;73,0;1,0;1,0;1,0;1,0;4,0;0,0;2,0;35,0;4,0
21;1939;0,0;0,0;0,0;0,0;0,0;1120,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;161,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,0;0,0;18,0;0,0;0,0;0,0;15,0;9,0;1,0;1227,0;15,0;0,0;83,0;0,0;0,0;3,0;0,0;0,0;0,0;18,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0
22;1940;0,0;0,0;1,0;0,0;0,0;3157,0;0,0;0,0;0,0;0,0;0,0;1,0;1,0;1715,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;6,0;0,0;46,0;1,0;0,0;1,0;18,0;0,0;1,0;4503,0;41,0;0,0;209,0;0,0;0,0;18,0;1,0;0,0;0,0;113,0;0,0;0,0;0,0;0,0;2,0;1,0;0,0;1,0;0,0
23;1941;0,0;0,0;0,0;0,0;0,0;687,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;136,0;0,0;0,0;0,0;0,0;0,0;2,0;0,0;0,0;4,0;0,0;9,0;0,0;0,0;0,0;11,0;7,0;0,0;524,0;17,0;1,0;99,0;0,0;0,0;1,0;0,0;0,0;0,0;29,0;0,0;0,0;0,0;0,0;2,0;0,0;0,0;0,0;0,0
